LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,CREDIT_UTILIZATION,BILL_CHANGE_MEAN,MAX_DELAY,LAST_DELAY,RECENT_PAY_RATIO,PAYMENT_STD,TOTAL_BILL,TOTAL_PAY,PAY_TO_BILL_RATIO
200000,2,2,2,26,-1,-1,-1,-1,-1,0,41906,17969,29789,11740,27004,4039,18089,30223,42749,27124,22,58869,0.20953,18407.0,0,-1,0.4316565646924068,20215.858672504284,132447.0,177076,1.3369574244792255
360000,1,2,1,35,1,-1,-1,-1,-1,-1,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0.0,0.0,1,1,-0.0,0.0,-618.0,0,-0.0
60000,2,1,2,25,0,0,0,0,0,0,56136,57280,56969,58695,57453,61153,2100,2100,2685,2300,4800,3400,0.9356,1624.6,0,0,0.0374091492090637,1053.2034466331754,347686.0,17385,0.0500020133108609
140000,1,1,1,55,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0
10000,1,2,2,23,0,0,2,0,0,2,7886,9085,7784,8547,8907,6844,1500,1000,1000,600,200,500,0.7886,1137.2,2,0,0.190210499619579,460.4345773288536,49053.0,4800,0.097853342303223
290000,1,2,2,45,0,0,0,0,0,0,212643,192933,174184,163792,120754,236402,6755,6900,6733,5632,235024,8700,0.733251724137931,41507.4,0,0,0.031766858067277,93118.51844969756,1100708.0,269744,0.2450640860246314
130000,1,2,1,33,-1,-1,-1,-1,-1,-1,99,99,99,99,99,98,99,99,99,99,98,894,0.0007615384615384,0.2,-1,-1,1.0,324.63928700430984,593.0,1388,2.3406408094435074
120000,2,2,2,30,0,0,0,0,0,0,16812,17571,18013,18197,9032,11951,1358,1126,636,650,4000,1800,0.1401,2693.8,0,0,0.0807756364501546,1258.1642182163662,91576.0,9570,0.1045033633266358
30000,1,2,2,25,3,2,2,2,0,0,18585,19301,19702,19102,19508,19899,1300,1000,0,700,700,1000,0.6195,502.8,3,3,0.0699488835082055,444.5971959725642,116097.0,4700,0.0404833888903244
20000,2,2,1,42,0,0,0,0,0,3,6336,7350,8370,9380,10078,10072,1125,1145,1154,852,150,0,0.3168,749.6,3,0,0.1775568181818181,527.609198807855,51586.0,4426,0.0857984724537665
80000,2,3,2,43,0,0,0,0,0,0,80707,77532,77492,78362,50001,50035,3332,3051,2600,1877,1767,1797,1.0,6496.0,0,0,0.0412851425526906,688.4992374723446,414129.0,14424,0.0348297269691328
50000,2,3,2,28,0,0,0,0,0,0,51422,50525,49691,49308,30284,30554,2100,2500,28400,1100,2000,1500,1.0,4281.6,0,0,0.0408385515927035,10854.062219587036,261784.0,37600,0.1436298627876417
130000,1,2,2,25,0,0,0,0,-1,0,126454,128179,75525,76862,6131,27117,4252,3000,1537,10000,21300,651,0.9727230769230768,29486.6,0,0,0.0336248754487798,7834.935532600124,440268.0,40740,0.0925345471394696
520000,1,2,1,34,-1,-1,-1,-1,-1,-1,10000,10000,10000,10317,10000,126247,10000,10000,10317,10000,126247,4666,0.0192307692307692,23376.2,-1,-1,1.0,47916.38182779108,176564.0,171230,0.9697899911646768
470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0.6310063829787234,72610.4,2,2,0.0438340644630495,4647.088837828116,2002818.0,55690,0.0278058215973693
130000,1,2,2,29,-1,-1,-1,-1,-1,-1,3920,3848,942,942,768,-174,4000,942,942,768,0,0,0.0301538461538461,818.8,-1,-1,1.020408163265306,1482.5451988612915,10246.0,6652,0.6492289674019129
150000,1,2,2,28,0,0,0,0,0,0,134218,118580,95916,82867,58995,59799,4465,10629,3500,1833,1886,1610,0.8947866666666666,15205.4,0,0,0.0332667749482185,3443.424540579722,550375.0,23923,0.0434667272314331
350000,2,1,2,31,0,0,0,0,0,0,35420,38632,42499,46590,52606,59537,4000,5000,5000,7000,8000,10000,0.1012,4823.4,0,0,0.1129305477131564,2258.317958127243,275284.0,39000,0.1416718734107322
30000,1,2,1,38,1,2,2,2,0,0,9303,9009,13861,13344,13972,18735,0,5000,0,1000,5000,0,0.3101,2210.8,2,1,0.0,2483.27740429189,78224.0,11000,0.1406218040499079
300000,2,2,1,40,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0
280000,2,1,2,28,-1,-1,-1,0,0,-1,3678,1829,10002,13476,23572,14603,3658,10020,10000,11000,14603,3819,0.0131357142857142,6512.2,0,-1,0.9945622620989668,4305.316109184087,67160.0,53100,0.7906491959499702
140000,2,1,2,23,0,0,0,0,0,0,35206,26200,27771,29261,20121,24263,2000,2000,2025,1300,4500,3500,0.2514714285714285,5069.8,0,0,0.0568084985513832,1195.6605566241058,162822.0,15325,0.0941211875545073
80000,2,1,2,32,0,0,0,0,0,0,40478,38533,22243,8524,819,-181,5225,5091,3528,0,0,6740,0.505975,8131.8,0,0,0.1290824645486437,2845.2222174492217,110416.0,20584,0.1864222576438197
30000,2,1,2,24,0,0,2,2,-1,-1,27660,28780,780,0,0,0,2000,0,0,0,0,0,0.922,5980.0,2,0,0.0723065798987707,816.496580927726,57220.0,2000,0.0349528137015029
170000,2,3,2,41,0,0,0,0,0,0,76704,50301,50896,52554,53084,54197,2405,2000,2500,2000,1968,2000,0.4512,6059.8,0,0,0.0313542970379641,240.01145805981847,337736.0,12873,0.0381155695572873
420000,2,2,2,36,-1,-1,-1,0,-1,-1,3581,16629,33433,28468,35669,23317,16647,33595,16000,36625,23317,23983,0.0085261904761904,10874.0,0,-1,4.64870148003351,8528.181386829589,141097.0,150167,1.0642820187530564
90000,2,2,1,33,0,0,0,0,2,2,75451,76395,79168,84904,87914,90043,2800,4000,8000,5348,3700,3128,0.8383444444444444,2918.4,2,0,0.0371101774661701,1930.357065415619,493875.0,26976,0.0546211085801063
100000,2,2,2,27,0,0,0,0,0,0,94656,88758,90357,89209,84983,81484,4171,4044,3420,3300,3886,2730,0.94656,3274.0,0,0,0.0440648242055442,544.7701961989721,529447.0,21551,0.0407047353181716
230000,2,2,2,34,-1,-1,-1,-1,-1,-1,316,316,316,316,316,466,316,316,316,316,466,466,0.0013739130434782,30.0,-1,-1,1.0,77.45966692414834,2046.0,2196,1.0733137829912025
100000,1,2,2,29,1,3,3,2,2,2,99679,101249,98768,96287,102069,81931,4000,0,0,7629,0,18895,0.99679,6490.4,3,1,0.0401288134913071,7428.820947274653,579983.0,30524,0.0526291287848092
160000,2,3,1,44,2,2,-1,-1,-1,-1,1500,0,0,0,0,0,0,0,0,0,0,0,0.009375,300.0,2,2,0.0,0.0,1500.0,0,0.0
60000,2,2,1,27,1,2,2,2,2,2,25547,24838,27725,26981,28921,29506,0,3300,0,2400,1200,1300,0.4257833333333333,1373.0,2,1,0.0,1309.4528119281988,163518.0,8200,0.0501473843858168
150000,2,2,2,30,0,0,0,0,0,0,69955,59380,57431,52754,52430,41770,1873,1897,1552,1649,2005,11064,0.4663666666666666,5637.0,0,0,0.026774354942463,3787.6949190767727,333720.0,20040,0.0600503416037396
50000,2,2,1,28,1,2,0,0,0,0,41468,40507,41464,35334,26875,23338,0,1970,1827,1044,993,1999,0.82936,4008.8,2,1,0.0,782.9218990422991,208986.0,7833,0.0374809795871493
200000,1,1,1,29,-1,-1,-1,-1,-1,-1,9585,1686,820,1889,6617,3986,1735,824,1889,6617,3986,2460,0.047925,3438.6,-1,-1,0.1810119979134063,2091.7052134562364,24583.0,17511,0.7123215230037018
230000,2,2,1,45,0,0,0,0,0,0,71149,71922,77500,72851,72860,48758,3000,11261,10000,2100,5000,5000,0.3093434782608695,7022.2,0,0,0.0421650339428523,3738.085093556146,415040.0,36361,0.0876084232845027
150000,2,1,2,29,0,0,0,0,0,0,80299,81963,84641,86330,88885,97402,3000,4000,4000,4000,10000,4000,0.5353266666666666,3420.6,0,0,0.037360365633445,2562.5508125043425,519520.0,29000,0.0558207576224207
90000,1,3,2,27,2,2,2,2,2,0,88072,90221,91898,91334,59253,58519,4500,4000,2090,0,2078,2900,0.9785777777777778,7441.0,2,2,0.0510945589971841,1609.497644194196,479297.0,15568,0.0324809043244585
50000,2,2,2,41,2,-1,2,2,-1,-1,390,780,780,0,0,0,780,0,0,0,0,0,0.0078,234.0,2,2,2.0,318.43366656181314,1950.0,780,0.4
370000,2,3,2,29,-1,-1,-1,-1,-1,-1,28397,19340,-400,-1900,-1900,-1900,19438,7,0,0,0,0,0.0767486486486486,6059.4,-1,-1,0.684508926999331,7934.959216446335,41637.0,19445,0.4670125129091913
140000,2,1,2,33,-1,-1,-1,-1,-1,-1,1825,0,1264,0,0,1980,0,1264,0,0,1980,1351,0.0130357142857142,1266.6,-1,-1,0.0,874.5619284342686,5069.0,4595,0.9064904320378772
320000,1,2,2,32,0,0,0,0,0,0,75122,70308,51223,52371,54518,56601,4000,3000,2000,3000,3000,4000,0.23475625,5855.4,0,0,0.0532467186709619,752.772652709081,360143.0,19000,0.052756821595866
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,0.0026333333333333,252.8,-1,-1,1.0,237.8761582560696,1896.0,1580,0.8333333333333334
30000,2,1,1,43,-1,-1,-1,-1,-1,-1,390,780,0,0,0,0,780,0,0,0,0,0,0.013,234.0,-1,-1,2.0,318.43366656181314,1170.0,780,0.6666666666666666
310000,2,1,2,44,-1,-1,-1,0,0,-1,11983,7759,16799,32372,6680,4732,7797,16818,20313,1006,4739,6615,0.0386548387096774,11295.4,0,-1,0.6506717850287908,7436.381647010863,80325.0,57288,0.7132026143790849
400000,2,1,2,31,0,-1,-1,0,-1,0,7912,4220,3364,2832,34967,38706,4220,3364,2500,34967,10000,22600,0.01978,8190.8,0,0,0.5333670374115268,13144.426079774905,92001.0,77651,0.8440234345278855
270000,2,2,1,27,0,0,0,2,0,0,24769,22546,21345,14852,18669,25175,4000,5000,0,10000,7000,2000,0.091737037037037,4048.0,2,0,0.1614921878154144,3559.026084010437,127356.0,28000,0.219856151261032
210000,1,1,2,29,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,-1,0.0,0.0,0.0,0,0.0
140000,2,2,1,50,1,2,2,2,2,2,136183,139121,140047,141215,142019,137251,6901,4800,5006,5507,5,5308,0.9727357142857144,2120.8,2,1,0.050674460101481,2363.746468356255,835836.0,27527,0.0329334941304275
150000,2,2,2,28,0,-1,0,-1,-1,-1,12272,4447,5228,1623,0,0,4447,1000,1623,0,0,0,0.0818133333333333,2766.8,0,0,0.3623696219035202,1736.612871847571,23570.0,7070,0.2999575731862537
260000,2,1,2,28,0,0,0,0,0,0,63504,66283,67341,54725,36117,35144,4000,3002,2000,2000,2464,1000,0.2442461538461538,7206.8,0,0,0.0629881582262534,1020.3699329164888,323114.0,14466,0.0447705763290974
70000,2,1,2,28,0,0,0,0,0,0,20335,21699,22460,20345,42123,19852,2000,1500,3000,721,1200,2000,0.2905,9657.8,0,0,0.098352594049668,788.7079096006751,146814.0,10421,0.0709809691173866
140000,2,3,2,26,0,0,0,0,0,0,93384,93443,57219,57621,48323,45082,3514,3000,2000,2000,1636,1686,0.6670285714285714,9844.8,0,0,0.037629572517776,769.606652777898,395072.0,13836,0.0350214644419245
170000,2,2,2,23,-1,0,0,0,0,0,32192,32555,32292,32372,31202,31688,1608,2301,2379,2202,2688,2110,0.1893647058823529,472.4,0,-1,0.0499502982107355,357.117160980352,192301.0,13288,0.0691000046801628
150000,2,3,1,45,0,0,0,0,0,0,141415,144592,147635,129507,132219,134869,5457,5661,4636,4800,4850,5000,0.9427666666666666,5942.0,0,0,0.038588551426652,403.37658170333424,830237.0,30404,0.0366208684989948
80000,1,3,1,59,1,2,0,0,-1,-1,21723,21097,22140,18349,3540,0,0,2000,0,3540,0,0,0.2715375,4761.8,2,1,0.0,1511.0482013048645,86849.0,5540,0.063788874943868
180000,1,2,2,31,0,0,0,2,0,0,28566,32876,39120,38339,42679,46953,5000,7000,0,5000,5000,5000,0.1587,3989.8,2,0,0.1750332563187005,2345.207879911715,228533.0,27000,0.1181448631051095
20000,1,2,1,34,0,0,0,0,0,0,17179,17815,9519,10469,14272,15033,1300,1500,1415,4000,1000,1000,0.85895,2889.2,0,0,0.0756737877641306,1144.6560618805984,84287.0,10215,0.1211930665464425
80000,1,3,2,44,2,0,0,0,2,2,57076,58358,58992,62696,64148,62965,2800,2200,4700,2600,0,4400,0.71345,1651.0,2,2,0.0490573971546709,1697.5472502014975,364235.0,16700,0.0458495202273257
20000,2,2,2,24,1,2,0,0,2,0,6025,5786,10471,11542,11216,14834,0,5000,1550,0,4000,4026,0.30125,1987.8,2,1,0.0,2200.0551508238755,59874.0,14576,0.2434445669238734
100000,2,2,2,26,1,2,0,0,2,2,6056,5810,6860,8337,8054,8921,0,1150,1600,0,1000,0,0.06056,784.6,2,1,0.0,712.5657864365928,44038.0,3750,0.0851537308687951
50000,2,2,2,26,1,2,2,0,0,0,50867,51486,48869,30115,29527,29998,1710,136,1206,2002,2005,3003,1.0,4609.8,2,1,0.0336170798356498,955.9389101820262,240862.0,10062,0.0417749582748627
110000,2,2,1,29,0,0,0,-1,-1,2,27340,17353,0,0,3161,2996,10000,0,0,3161,0,30000,0.2485454545454545,6133.2,2,0,0.365764447695684,11828.045210431012,50850.0,43161,0.8487905604719764
280000,1,1,2,31,0,0,0,0,0,0,148186,150724,153762,155242,143679,145615,5000,5006,4408,4117,4600,4600,0.5292357142857143,4111.0,0,0,0.0337413790776456,344.1304500718683,897208.0,27731,0.0309081060356127
120000,2,1,2,26,-1,-1,-1,0,0,0,10415,7172,110688,100552,89147,88388,5771,120055,5073,3508,3707,3016,0.0867916666666666,25811.8,0,-1,0.5541046567450792,47302.79938298225,406362.0,141130,0.3473011748145742
80000,2,1,2,29,2,2,2,2,2,0,54313,57988,59271,60013,58453,60155,4600,2800,2300,0,2800,6300,0.6789125,1792.4,2,2,0.0846942720895549,2140.716390993133,350193.0,18800,0.0536846824465366
100000,1,1,1,36,0,0,0,0,0,0,23070,18806,20183,21540,25775,0,1700,2000,2000,5000,0,0,0.2307,7401.6,0,0,0.0736887732986562,1833.4848422244088,109374.0,10700,0.0978294658694022
180000,2,2,2,25,0,0,0,0,0,0,177607,177498,176081,175540,142015,139162,6500,7000,7200,5018,5200,5300,0.9867055555555556,7689.0,0,0,0.0365976566238943,977.3846052944904,987903.0,36218,0.0366614940940557
100000,2,2,2,28,0,0,0,0,0,0,50697,51813,53416,32422,33177,42560,1959,2545,1513,1268,10000,10000,0.50697,6770.2,0,0,0.038641339724244,4245.778173668521,264085.0,27285,0.1033190071378533
20000,1,1,2,24,2,2,0,0,2,2,18199,17623,18317,19525,19084,19601,0,1300,1500,0,1600,0,0.90995,687.2,2,2,0.0,809.1147425839346,112349.0,4400,0.0391636774693143
340000,1,1,2,29,0,0,0,0,0,0,277140,272579,271986,227152,221218,159462,10000,13012,8008,8343,9463,196000,0.8151176470588235,23535.6,0,0,0.0360828462149094,76050.81526628538,1429537.0,244826,0.1712624437142935
70000,2,2,1,27,1,2,0,0,0,0,71570,68138,67682,50256,43353,44219,0,2705,2115,1583,1597,1500,1.0,5816.6,2,1,0.0,900.5422070434381,345218.0,9500,0.0275188431657677
90000,2,3,2,24,-1,-1,-1,-1,-1,-1,595,207,18189,557,0,0,207,18281,557,0,0,0,0.0066111111111111,7311.8,-1,-1,0.3478991596638655,7403.999660093636,19548.0,19045,0.97426846736239
470000,1,2,1,32,0,0,0,0,0,0,181224,143173,145293,148871,152309,155769,7000,6000,6000,6000,6000,8000,0.3855829787234042,10129.4,0,0,0.0386262305213437,836.6600265340755,926639.0,39000,0.042087587507109
50000,1,2,1,61,2,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,0.0078,0.0,2,2,1.0,0.0,2340.0,2340,1.0
190000,2,1,2,38,0,0,0,0,0,0,39468,33983,35042,35699,36410,38067,2151,1910,1558,1269,2209,123347,0.2077263157894736,1913.8,0,0,0.0544998479781088,49614.72737000577,218669.0,132444,0.6056825613141323
190000,1,2,1,33,0,0,0,0,0,-1,98814,102174,105230,17907,-93,-483,5000,5361,1000,0,0,0,0.5200736842105264,22425.8,0,0,0.0506001173922723,2577.9165036905288,323549.0,11361,0.0351136922073627
270000,1,1,1,37,0,0,0,0,0,0,174532,167536,171865,176167,105523,45258,6900,7900,8800,4700,2100,60000,0.6464148148148148,29307.2,0,0,0.0395342974354273,22144.67580857003,840881.0,90400,0.1075062939940372
200000,1,2,1,40,0,0,-1,0,0,0,1296,2035,120921,126429,85500,81305,2564,124500,8000,3500,4000,3000,0.00648,34051.4,0,0,1.978395061728395,49145.89385357303,417486.0,145564,0.3486679792855329
500000,2,2,1,31,-1,-1,-1,0,0,0,2181,5625,60201,45299,40940,16923,5700,60207,1000,838,4476,24236,0.004362,20259.6,0,-1,2.6134800550206325,23305.941546452625,171169.0,96457,0.5635190951632597
360000,1,2,1,44,0,0,0,0,2,0,270248,138566,142337,149758,147152,149460,5000,5000,8600,0,5000,5000,0.7506888888888889,29557.6,2,0,0.0185015245256209,2743.477112473634,997521.0,28600,0.0286710755964034
410000,1,1,2,37,0,0,0,0,0,0,59728,66109,67396,70701,74590,78380,8000,3000,4400,5000,5033,345,0.1456780487804878,3730.4,0,0,0.1339405304045004,2532.162448711904,416904.0,25778,0.0618319805039049
250000,2,1,2,44,-1,-1,-1,-1,-1,-1,891,-33,-33,-33,267,144,0,0,0,300,144,0,0.003564,269.4,-1,-1,0.0,124.80384609458156,1203.0,444,0.3690773067331671
100000,2,2,2,36,-1,-1,-1,-1,-1,-1,14891,-709,-1813,-2011,1751,2238,0,0,0,3989,946,154,0.14891,4230.2,-1,-1,0.0,1582.051379275233,14347.0,5089,0.3547083013870495
10000,1,3,1,30,0,0,3,2,0,0,8315,11267,10626,10160,10052,9635,3258,0,0,357,400,300,0.8315,916.8,3,0,0.3918220084185208,1256.0898720500322,60055.0,4315,0.071850803430189
500000,1,1,1,41,-1,-1,-1,-1,-1,-1,11060,6860,27243,2487,6269,10744,6895,27398,3104,6300,10797,4882,0.02212,11519.2,-1,-1,0.6234177215189873,8948.077804757846,64663.0,59376,0.9182376320306822
